City,Location_Score,Internal_Audit_Score,External_Audit_Score,Fin_Score,Loss_score,Past_Results,IsUnderRisk
2,8.032,14,8,3,6,0,1
31,77.73,8,3,3,8,1,0
40,59.203,3,12,11,3,0,1
12,73.08,4,5,7,6,0,0
4,15.666,13,15,6,7,2,1
1,6.237,10,10,12,3,1,1
9,13.795,8,3,5,3,0,0
23,74.132,11,15,5,8,0,1
40,69.522,8,4,7,6,0,0
38,6.577,8,5,7,3,1,0
4,75.514,8,12,4,4,0,1
0,34.522,11,10,14,3,1,1
10,34.374,4,8,7,3,1,0
8,22.872,8,8,7,7,0,1
9,16.313,14,10,3,4,1,1
11,16.396,13,15,8,6,0,1
19,9.537,3,7,5,7,0,0
9,16.433,12,11,15,3,1,1
6,41.253,3,6,4,5,0,0
2,22.067,7,3,8,5,1,1
8,7.061,3,5,6,8,1,0
23,38.318,7,7,6,3,1,0
1,15.931,10,7,7,6,0,1
6,8.875,7,7,7,4,1,1
10,17.463,13,15,12,3,1,1
37,7.087,11,3,4,5,1,1
6,23.298,7,8,4,4,1,1
2,70.261,3,6,5,3,0,0
3,11.092,8,5,4,6,0,0
40,14.226,8,5,6,4,1,1
40,21.448,5,7,7,3,1,0
5,73.111,10,8,4,8,0,1
2,73.793,7,7,5,4,0,1
31,9.606,11,4,4,4,1,1
6,12.058,6,7,3,7,1,1
41,17.908,6,3,7,6,1,0
10,7.11,7,5,7,6,1,0
40,73.507,8,5,5,7,1,1
16,68.547,6,3,3,7,1,0
9,5.518,12,4,7,6,0,1
22,15.105,5,8,5,8,0,0
6,18.332,12,14,12,8,1,1
40,33.219,6,7,7,5,1,0
10,14.211,11,3,13,6,1,1
40,61.459,10,8,5,8,1,1
6,75.615,8,5,4,8,1,0
23,67.797,3,4,8,3,0,0
2,10.968,15,13,15,6,2,1
40,9.348,15,10,6,5,0,1
37,22.864,12,14,13,3,2,1
2,73.972,10,3,3,3,1,1
37,9.138,6,3,7,8,1,0
41,16.482,4,3,6,4,1,0
40,17.024,12,13,7,5,1,1
31,64.502,5,8,8,5,1,0
38,16.893,11,3,7,6,0,1
41,63.372,10,15,4,5,0,1
29,12.337,12,10,11,5,1,1
9,61.625,3,3,5,4,0,0
41,62.94,7,8,8,6,0,0
4,18.072,10,3,4,3,1,1
19,64.93,6,6,5,6,1,0
0,24.597,11,12,14,3,1,1
38,66.043,6,6,5,5,1,0
37,15.586,7,3,14,3,1,1
2,9.83,3,7,6,6,0,0
6,17.653,10,10,12,6,0,1
8,6.141,8,3,5,4,1,0
5,70.881,9,13,4,3,0,1
40,11.362,4,6,6,6,1,0
40,7.031,5,5,4,11,1,1
37,11.446,5,3,8,4,0,0
3,8.165,13,11,13,9,2,1
37,22.682,8,3,8,7,1,1
38,68.387,13,14,8,6,1,1
16,18.916,8,15,11,7,1,1
40,21.057,7,5,4,8,0,1
9,9.183,11,8,8,8,0,1
2,69.686,5,5,3,5,0,0
28,17.085,12,13,3,6,1,1
10,13.895,5,6,5,8,1,0
31,65.878,5,10,8,4,1,1
38,63.619,3,5,4,3,1,0
9,12.289,9,3,7,4,0,1
9,14.239,6,7,4,6,0,0
3,16.714,7,12,5,6,0,1
5,18.76,7,13,10,3,0,1
31,20.709,8,15,6,4,0,1
37,69.554,7,3,7,3,0,0
5,16.925,12,11,12,8,1,1
40,19.273,7,8,4,7,1,1
31,32.018,8,6,4,5,1,0
9,12.78,7,4,5,4,0,0
10,13.312,13,15,15,4,1,1
9,13.948,11,4,3,6,0,1
31,20.751,12,15,11,6,0,1
2,11.506,13,10,11,8,1,1
40,68.709,6,4,3,6,0,1
22,16.466,3,4,8,8,1,1
4,73.469,8,3,5,8,1,0
10,14.56,13,4,3,8,1,1
6,15.273,15,10,7,8,0,1
9,17.042,7,6,4,7,1,0
2,64.536,6,4,7,5,0,0
9,7.33,4,5,5,11,0,1
23,9.178,10,13,10,3,2,1
18,20.105,8,6,10,5,1,1
41,60.605,3,4,7,6,0,0
35,73.107,7,5,5,4,0,0
41,74.696,8,4,7,5,0,0
10,6.99,11,7,7,5,0,1
13,10.026,13,15,14,3,1,1
32,11.969,7,8,7,7,1,0
14,13.858,12,5,7,7,0,1
40,62.755,3,8,4,7,0,1
31,16.789,13,6,6,8,0,1
5,11.703,10,14,11,7,1,1
3,58.664,11,11,10,8,0,1
41,71.89,4,6,3,7,0,0
10,8.543,11,15,13,8,3,1
30,11.016,15,14,10,7,0,1
10,70.989,9,13,8,5,1,1
12,77.731,7,7,7,7,0,1
16,14.956,14,13,14,5,1,1
8,11.475,10,14,11,6,3,1
0,6.265,6,3,13,4,0,1
10,69.63,11,7,4,6,1,1
23,21.842,8,8,4,4,0,0
9,17.917,3,3,6,7,0,0
31,11.331,6,3,8,8,1,1
29,11.587,11,11,12,5,1,1
5,17.81,10,6,8,6,1,1
3,22.057,12,4,6,7,1,1
40,15.402,7,6,8,3,0,1
37,26.522,6,5,4,7,1,0
38,62.351,6,4,8,7,0,0
38,67.086,8,8,8,4,1,0
35,72.523,6,3,6,3,0,0
43,14.394,7,4,4,8,0,0
2,9.513,10,7,7,6,0,1
39,23.428,11,12,11,6,0,1
23,16.741,11,11,6,3,0,1
41,20.429,10,9,10,6,1,1
41,6.365,4,4,4,8,1,0
6,15.527,6,8,3,3,1,1
41,7.738,11,15,11,8,2,1
40,15.243,7,5,5,4,0,1
5,15.152,15,7,7,5,0,1
21,19.288,11,13,15,3,1,1
6,71.521,5,3,8,4,0,0
24,23.122,14,3,9,5,1,1
39,16.12,14,11,10,4,0,1
41,12.131,8,3,4,5,1,0
1,61.136,3,7,6,7,1,0
10,24.4,14,5,11,6,1,1
5,15.54,8,8,5,3,0,1
23,76.248,7,5,8,7,0,0
38,20.659,5,4,5,6,1,0
41,68.617,7,10,6,3,0,1
6,7.168,7,8,4,5,1,1
3,23.528,8,11,8,3,0,1
13,34.33,7,6,6,8,0,0
8,66.838,6,14,8,3,0,1
31,13.364,10,4,3,7,1,1
19,74.089,4,6,5,4,1,0
41,69.327,4,7,6,4,0,0
41,8.501,12,10,5,6,2,1
5,5.864,10,8,5,7,0,1
2,64.828,11,12,7,4,0,1
9,11.663,7,6,7,9,1,1
38,73.012,3,6,4,5,1,0
40,14.323,12,7,8,4,0,1
32,6.836,11,15,12,3,0,1
10,73.305,10,15,10,8,3,1
38,18.869,6,7,7,6,0,0
31,22.474,8,8,11,5,0,1
9,15.904,10,8,8,6,1,1
40,61.413,7,8,3,8,1,1
41,18.559,9,12,14,8,1,1
9,75.588,5,5,8,4,0,0
3,72.991,6,4,7,8,1,0
0,68.706,6,7,8,8,1,0
30,11.759,13,12,13,8,1,1
5,59.421,7,7,5,7,1,0
9,20.316,7,5,8,3,1,1
37,66.535,4,7,4,6,1,0
