Go.	Idź.
Hi.	Cześć.
Run!	Uciekaj!
Run.	Biegnij.
Run.	Uciekaj.
Who?	Kto?
Wow!	O, dziamdzia zaprzała jej szadź!
Wow!	Łał!
Help!	Pomocy!
Jump.	Skok.
Stop!	Stój!
Stop!	Zatrzymaj się!
Begin.	Zaczynaj.
Begin.	Zaczynajcie.
Hello!	Cześć.
Hurry!	Pośpiesz się!
I see.	Rozumiem.
I see.	Widzę.
I try.	Próbuje.
I won!	Wygrałem!
Oh no!	O nie!
Relax.	Wyluzuj.
Smile.	Uśmiech.
Attack!	Atak!
Cheers!	Na zdrowie!
Cheers!	Twoje zdrowie!
Get up.	Wstawaj.
Go now.	Idź już.
Got it?	Rozumiesz?
Got it?	Kapujesz?
He ran.	On pobiegł.
Hop in.	Wskakuj.
Hug me.	Przytul mnie.
I fell.	Przewróciłam się.
I know.	Wiem.
I quit.	Wychodzę.
I'm OK.	Ze mną wszystko w porządku.
Listen.	Słuchaj.
No way!	Nie mam mowy!
Really?	Naprawdę?
Thanks.	Dziękuję!
Thanks.	Dzięki.
We try.	Próbujemy.
Why me?	Dlaczego ja?
Ask Tom.	Spytaj Toma.
Ask Tom.	Zapytaj Toma.
Awesome!	Niesamowity!
Be calm.	Bądź spokojny.
Be cool.	Być luzakiem.
Be fair.	Bądź uczciwy.
Be kind.	Bądź miły.
Be nice.	Bądź miły.
Beat it.	Spadaj.
Call me.	Zadzwoń do mnie.
Call us.	Zadzwoń do nas.
Come on!	Śmiało!
Come on!	Dalej!
Come on.	No chodź.
Drop it!	Rzuć to!
Get Tom.	Zabierz Toma.
Get out!	Wynoś się!
Go away!	Idź stąd.
Go away.	Idź sobie.
Go home.	Idź do domu.
Hang on.	Wytrzymać.
He runs.	On biega.
Help me!	Pomóż mi!
Help me.	Pomóż mi.
Hi, Tom.	Cześć, Tom.
Hit Tom.	Uderz Toma.
Hold it!	Trzymaj się!
Hug Tom.	Przytul Toma.
I bowed.	Ukłoniłem się.
I tried.	Próbowałem.
I'll go.	Ja pójdę.
I'm Tom.	Jestem Tom.
I'm old.	Jestem stary.
I'm sad.	Jestem smutny.
I'm shy.	Jestem nieśmiały.
I'm shy.	Jestem wstydliwy.
It's me!	To ja.
It's me!	Oto ja.
Keep it.	Zatrzymaj to.
Kiss me.	Pocałuj mnie.
Me, too.	Ja także.
Me, too.	Ja też.
Open up.	Otwierać.
Perfect!	Doskonale!
Show me.	Pokaż mi.
Shut up!	Zamknij się!
Stop it.	Przestań.
Take it.	Weź to.
Tell me.	Powiedz mi.
Tom ate.	Tom zjadł.
Tom ran.	Tom biegał.
Wake up!	Obudź się!
Wake up.	Obudź się.
We lost.	Przegraliśmy.
Welcome.	Witamy.
Welcome.	Witam.
Who ate?	Kto jadł?
Who won?	Kto wygrał?
You run.	Uruchomić.
You won.	Wygrałeś.
Back off!	Odsuń się!
Back off.	Odsuń się.
Be still.	Bądź spokojna.
Call Tom.	Zadzwoń Tom.
Cheer up!	Głowa do góry!
Cool off!	Uspokój się!
Cuff him.	Skuć go.
Drive on.	Jedź dalej.
Find Tom.	Znajdź Toma.
Fix this.	Napraw to.
Get down!	Na ziemię!
